tanggal,bawah_1,bawah_2,medium_1,medium_2,super_1,super_2
2025-01-01,13200.0,13000.0,15050.0,14150.0,18050.0,16450.0
2025-01-02,13250.0,12350.0,15100.0,13950.0,18250.0,14500.0
2025-01-03,13200.0,13000.0,15050.0,14150.0,18050.0,16450.0
2025-01-04,13200.0,13000.0,15050.0,14150.0,18050.0,16450.0
2025-01-05,13200.0,13000.0,15050.0,14150.0,18050.0,16450.0
2025-01-06,13200.0,13000.0,15050.0,14150.0,18050.0,16450.0
2025-01-07,13200.0,13000.0,15050.0,14150.0,18050.0,16450.0
2025-01-08,13250.0,13250.0,15050.0,14000.0,18250.0,14500.0
2025-01-09,13200.0,13550.0,15000.0,14150.0,18050.0,16450.0
2025-01-10,13200.0,13550.0,15000.0,14150.0,18050.0,16450.0
2025-01-11,13200.0,13550.0,15000.0,14150.0,18050.0,16450.0
2025-01-12,13200.0,13550.0,15000.0,14150.0,18050.0,16450.0
2025-01-13,13200.0,13550.0,15000.0,14150.0,18050.0,16450.0
2025-01-14,13200.0,13550.0,15000.0,14150.0,18050.0,16450.0
2025-01-15,13250.0,13250.0,14900.0,14200.0,17300.0,14850.0
2025-01-16,13200.0,13550.0,14900.0,14300.0,17250.0,16350.0
2025-01-17,13200.0,13550.0,14900.0,14300.0,17250.0,16350.0
2025-01-18,13200.0,13550.0,14900.0,14300.0,17250.0,16350.0
2025-01-19,13200.0,13550.0,14900.0,14300.0,17250.0,16350.0
2025-01-20,13200.0,13550.0,14900.0,14300.0,17250.0,16350.0
2025-01-21,13200.0,13550.0,14900.0,14300.0,17250.0,16350.0
2025-01-22,13200.0,13550.0,14900.0,14300.0,17250.0,16350.0
2025-01-23,13200.0,13550.0,14900.0,13950.0,17250.0,16350.0
2025-01-24,13200.0,13550.0,14900.0,13950.0,17250.0,16350.0
2025-01-25,13200.0,13550.0,14900.0,13950.0,17250.0,16350.0
2025-01-26,13200.0,13550.0,14900.0,13950.0,17250.0,16350.0
2025-01-27,13200.0,13550.0,14900.0,13950.0,17250.0,16350.0
2025-01-28,13200.0,13550.0,14900.0,13950.0,17250.0,16350.0
2025-01-29,13200.0,13550.0,14900.0,13950.0,17250.0,16350.0
2025-01-30,13200.0,13550.0,14850.0,14000.0,17250.0,16550.0
